category,path,label,true_type,true_location,verdict,defect_type,location,explanation,valid,p_defective,latency_s,prompt_tokens,completion_tokens,raw,config
bottle,bottle/test/good/000.png,0,none,none,good,none,none,,True,0.04741668428119134,4.888879882986657,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Baseline: Qwen2.5-VL-7B zero-shot
bottle,bottle/test/good/001.png,0,none,none,good,none,none,,True,0.24497613651111494,4.948646445001941,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Baseline: Qwen2.5-VL-7B zero-shot
bottle,bottle/test/good/002.png,0,none,none,good,none,none,,True,0.033080913355087546,4.890147096011788,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Baseline: Qwen2.5-VL-7B zero-shot
bottle,bottle/test/good/003.png,0,none,none,good,none,none,,True,0.0850759933332154,4.952621589996852,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Baseline: Qwen2.5-VL-7B zero-shot
bottle,bottle/test/good/004.png,0,none,none,good,none,none,,True,0.042079522956952796,4.824037940998096,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Baseline: Qwen2.5-VL-7B zero-shot
bottle,bottle/test/good/005.png,0,none,none,good,none,none,,True,0.11916301646094127,4.945958641008474,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Baseline: Qwen2.5-VL-7B zero-shot
bottle,bottle/test/good/006.png,0,none,none,good,none,none,,True,0.06753023484346148,5.210273628006689,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Baseline: Qwen2.5-VL-7B zero-shot
bottle,bottle/test/good/007.png,0,none,none,good,none,none,,True,0.04208048964628715,5.028482843947131,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Baseline: Qwen2.5-VL-7B zero-shot
bottle,bottle/test/good/008.png,0,none,none,good,none,none,,True,0.03308090823205216,4.952506052039098,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Baseline: Qwen2.5-VL-7B zero-shot
bottle,bottle/test/good/009.png,0,none,none,good,none,none,,True,0.037320438894180526,5.029224052035715,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Baseline: Qwen2.5-VL-7B zero-shot
