category,path,label,true_type,true_location,verdict,defect_type,location,explanation,valid,p_defective,latency_s,prompt_tokens,completion_tokens,raw,config
bottle,bottle/test/good/000.png,0,none,none,good,none,none,,True,0.06753794549319957,6.324201815004926,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/001.png,0,none,none,defective,broken_small,bottom,,True,0.7980571686262633,7.046826731995679,391,24,"{""verdict"": ""defective"", ""defect_type"": ""broken_small"", ""location"": ""bottom""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/002.png,0,none,none,good,none,none,,True,0.012431267177753268,5.914165694033727,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/003.png,0,none,none,good,none,none,,True,0.009708209911572879,5.860356317018159,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/004.png,0,none,none,good,none,none,,True,0.009708062121225389,5.9323513630079105,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/005.png,0,none,none,good,none,none,,True,0.16453757255451465,5.9222226070123725,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/006.png,0,none,none,good,none,none,,True,0.09533076777516729,6.067969992000144,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/007.png,0,none,none,good,none,none,,True,0.009708051292351623,6.028472391015384,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/008.png,0,none,none,good,none,none,,True,0.012431269384734048,6.0364847899763845,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/009.png,0,none,none,good,none,none,,True,0.007576995045925419,5.910596909991,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/010.png,0,none,none,good,none,none,,True,0.005910957474466849,6.041938104026485,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/011.png,0,none,none,good,none,none,,True,0.2688832163378031,6.064585419953801,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/012.png,0,none,none,good,none,none,,True,0.017985360413547456,6.031607710989192,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/013.png,0,none,none,good,none,none,,True,0.053398161382995024,6.070141503994819,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/014.png,0,none,none,good,none,none,,True,0.06007881660070383,6.337800170993432,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/015.png,0,none,none,good,none,none,,True,0.22265766185735417,6.333918644988444,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/016.png,0,none,none,good,none,none,,True,0.025955404904401604,6.03464296500897,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
bottle,bottle/test/good/017.png,0,none,none,good,none,none,,True,0.047421793751329155,7.028920491982717,391,22,"{""verdict"": ""good"", ""defect_type"": ""none"", ""location"": ""none""}",Tier 1: Qwen2.5-VL-7B + LoRA (fine-tuned on Nano)
